# Pathway	A10_Abundance
UNMAPPED	263346.7128835672
UNINTEGRATED	5750.4852913371
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens	12460.5630727499
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1087.4857017946
PWY-1042: glycolysis IV	50.9420979481
PWY-1042: glycolysis IV|g__Carnobacterium.s__Carnobacterium_maltaromaticum	21.7017461396
PWY-7221: guanosine ribonucleotides de novo biosynthesis	28.4413787145
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	27.4756725816
PWY0-1296: purine ribonucleosides degradation	25.6739409499
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_divergens	25.6739409499
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	14.2106800503
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_divergens	13.6294524332
