# Gene Family	A19_Abundance-RPKs
UNMAPPED	2597085.0000000000
UniRef90_A0A2R8A0C5	102500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	102500.0000000000
UniRef90_A0A0R2JAD9	22259.0049751256
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	18159.4029850759
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4099.6019900497
UniRef90_A0A0R2HX25	18611.8730158724
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	18611.8730158724
UniRef90_P0A356	16563.9396051095
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	16563.9396051095
UniRef90_A0A0U3MP38	11758.3265596160
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	9626.8656372188
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2131.4609223971
UniRef90_A0A0R2HNF4	11707.1482439130
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	10201.5864037923
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1505.5618401207
UniRef90_F4BNZ2	10943.5035552682
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	8105.3167420813
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2838.1868131868
UniRef90_Q1WS97	10650.2322127293
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	7794.6224943758
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2855.6097183535
UniRef90_Q839G5	9132.7354095593
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	7021.5509335679
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2111.1844759914
UniRef90_A0A0R2J234	7987.3559578305
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	5220.4905223340
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2766.8654354965
UniRef90_A0A0R2JH05	7979.4149118300
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	7418.3038007189
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_maltaromaticum	561.1111111111
UniRef90_A0A175CUC8	7667.1717171718
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	7667.1717171718
UniRef90_Q836X6	7333.4985624278
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	6000.1652290944
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1333.3333333333
UniRef90_A0A0R2KLY7	7171.9222683690
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	6323.4374198842
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	848.4848484848
UniRef90_A0A0R2KGR4	6844.4848852493
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	4733.3737741382
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2111.1111111111
UniRef90_F4BR38	6836.1479152634
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	5786.9526162140
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1049.1952990493
UniRef90_A0A0R2HWA8	6699.7238380364
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	5412.4897954832
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1287.2340425532
UniRef90_A0A0R2J1Q1	6509.8357524831
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	4860.9912146680
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1648.8445378151
UniRef90_A0A0R2I517	6011.3593853604
UniRef90_A0A0R2I517|g__Carnobacterium.s__Carnobacterium_divergens	6011.3593853604
UniRef90_H1WN81	5770.0962621608
UniRef90_H1WN81|g__Leuconostoc.s__Leuconostoc_gelidum	5770.0962621608
UniRef90_B9E9K1	5727.9724971480
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	4319.8092318419
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1408.1632653061
UniRef90_A0A0R2HXQ4	5648.4172028920
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	5648.4172028920
UniRef90_F4BR24	5553.5483998968
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	4729.6291887388
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	823.9192111581
UniRef90_P66145	5508.9271852197
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	4421.2078869741
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1087.7192982456
UniRef90_A0A0R2J142	5334.0422405877
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5334.0422405877
UniRef90_A0A0U2VN98	5291.1178655860
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	5291.1178655860
UniRef90_Q03D56	4883.6158192090
UniRef90_Q03D56|g__Leuconostoc.s__Leuconostoc_gelidum	4883.6158192090
UniRef90_A0A0R2HXI1	4744.3071705427
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	4744.3071705427
UniRef90_A0A0R2HUL4	4646.0894898178
UniRef90_A0A0R2HUL4|g__Carnobacterium.s__Carnobacterium_divergens	4646.0894898178
UniRef90_C4KZQ9	4595.5474621950
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_divergens	4287.8551545027
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	307.6923076923
UniRef90_A0A0R2I0E2	4572.4239726946
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_divergens	4300.8766090125
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	271.5473636821
UniRef90_K8EVY6	4565.3738530302
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	3573.2094650874
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	992.1643879428
UniRef90_Q82YU9	4534.4632768361
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_divergens	4117.7966101695
